phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn1_acnt	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	phn2_acnt	w1_text	w1_prom	w1_ip	w1_IP	w2_text	w2_prom	w2_ip	w2_IP	modification
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																				class
v	2	n	1	1	True	s	0	a	1	1	False	okay	True	1	1	okay	True	1	1	P
v	2	n	1	1	True	s	0	a	1	1	False	okay	True	1	1	okay	True	1	1	P
s	0	a	1	1	False	v	1	n	2	1	False	okay	True	1	1	okay	True	1	1	P
v	1	n	2	1	False	#	0		0	0	False	okay	True	1	1	<breath>	False	-1	-1	P
g	0	o	0	1	False	v	1	n	1	1	False	you	False	2	1	you	False	2	1	D
v	1	n	1	1	False	fs	0	o	0	1	False	you	False	2	1	see	True	3	2	P
v	1	n	1	1	False	fs	0	o	0	1	False	you	False	2	1	see	True	3	2	P
v	1	n	1	1	False	fs	0	o	0	1	False	you	False	2	1	see	True	3	2	D
fs	0	o	0	1	False	v	1	n	1	1	True	see	True	3	2	see	True	3	2	P
fs	0	o	0	1	False	v	1	n	1	1	True	see	True	3	2	see	True	3	2	D
v	1	n	1	1	True	g	0	o	0	1	False	see	True	3	2	where	False	4	3	P
g	0	o	0	1	False	v	1	n	1	1	False	where	False	4	3	where	False	4	3	P
v	1	n	1	1	False	g	0	c	1	1	False	where	False	4	3	where	False	4	3	P
g	0	c	1	1	False	g	0	o	0	1	False	where	False	4	3	your	False	5	4	D
g	0	o	0	1	False	v	1	n	1	1	False	your	False	5	4	your	False	5	4	D
v	1	n	1	1	False	g	0	c	1	1	False	your	False	5	4	your	False	5	4	P
g	0	c	1	1	False	fs	0	o	0	1	False	your	False	5	4	start	True	6	5	D
g	0	c	1	1	False	fs	0	o	0	1	False	your	False	5	4	start	True	6	5	P
