lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	Words	3-break	4-break	outcome
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																class
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	o	0	2	s	-1	o	0	2	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	D
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sr	s	-1	o	0	2	s	-1	o	0	2	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	D
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	True	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	a	2	1	s	-1	a	2	1	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	a	2	1	s	-1	a	2	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	True	False	P
Sr	s	-1	c	2	1	s	-1	c	2	1	False	True	True	False	False	D
Sr	n	-1	a	1	1	a	-1	a	1	2	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	2	1	s	-1	c	2	1	False	True	True	False	False	D
Sr	s	-1	a	1	2	s	-1	a	1	2	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	a	1	2	s	-1	a	1	2	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sr	#	-1	#	0	0	a	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	D
Sr	s	-1	o	0	2	s	-1	o	0	2	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	D
Sr	s	-1	a	1	2	s	-1	a	1	2	False	True	True	False	False	P
Sr	s	-1	a	1	2	s	-1	a	1	2	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sr	s	-1	o	0	2	s	-1	o	0	2	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sr	n	-1	a	1	1	a	-1	a	1	2	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	D
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	o	0	2	s	-1	o	0	2	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sr	s	-1	c	1	3	s	-1	c	1	3	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	True	False	False	P
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	True	False	False	P
