phone2-number	phone1-number	name	phone2-manner class	phone1-subnumber	phone1-manner class	phone1-type	phone2-subnumber	phone2-type	phone1-stress	outcome	phone2-stress
1	1	V	s	1	v	n	1	a	2	Preserved	-1
1	1	Sc	s	1	v	n	1	a	2	Preserved	-1
2	1	Sr	v	1	s	a	1	n	-1	Preserved	1
1	0	Sr	v	1	s	o	1	n	-1	Preserved	1
1	0	G	v	1	g	o	1	n	-1	Preserved	1
0	1	V	fs	1	v	n	1	o	1	Preserved	-1
0	1	Fc	fs	1	v	n	1	o	1	Preserved	-1
1	0	Fr	v	1	fs	o	1	n	-1	Preserved	1
0	1	V	g	1	v	n	1	o	1	Preserved	-1
1	0	G	v	1	g	o	1	n	-1	Preserved	1
1	1	V	g	1	v	n	1	c	1	Preserved	-1
1	0	G	v	1	g	o	1	n	-1	Preserved	1
1	1	V	g	1	v	n	1	c	1	Preserved	-1
0	1	Fc	fs	1	g	c	1	o	-1	Preserved	-1
0	0	Fr	s	1	fs	o	2	o	-1	Preserved	-1
1	0	Sr	v	2	s	o	1	n	-1	Preserved	1
1	1	V	g	1	v	n	1	c	1	Preserved	-1
1	1	G	s	1	g	c	2	c	-1	Preserved	-1
1	1	V	fs	1	v	n	1	c	1	Preserved	-1
1	1	Fc	fs	1	v	n	1	c	1	Preserved	-1
1	0	G	v	1	g	o	1	n	-1	Preserved	1
1	1	V	s	1	v	n	1	c	1	Preserved	-1
1	1	Sc	s	1	v	n	1	c	1	Preserved	-1
1	1	V	s	1	v	n	1	a	2	Preserved	-1
1	1	Sc	s	1	v	n	1	a	2	Preserved	-1
2	1	Sr	v	1	s	a	1	n	-1	Preserved	1
0	2	V	g	1	v	n	1	o	1	Preserved	-1
1	0	G	v	1	g	o	1	n	-1	Preserved	1
1	1	V	g	1	v	n	1	c	1	Preserved	-1
0	1	G	s	1	g	c	1	o	-1	Preserved	-1
1	1	V	n	1	v	n	1	a	1	Preserved	-1
1	1	Nc	n	1	v	n	1	a	1	Preserved	-1
2	1	Nr	v	1	n	a	1	n	-1	Preserved	0
0	2	V	s	1	v	n	1	o	0	Preserved	-1
0	2	Sc	s	1	v	n	1	o	0	Preserved	-1
1	0	Sr	v	1	s	o	1	n	-1	Preserved	1
