lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	Words	3-break	4-break	outcome
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																class
Fc	v	1	n	1	1	fs	-1	o	0	1	False	True	True	False	False	P
Fc	g	-1	c	1	1	fs	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fs	-1	c	1	1	False	True	True	False	False	P
Fc	g	-1	c	1	1	fs	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	2	n	3	1	fs	-1	c	3	1	False	True	True	False	True	P
Fc	s	-1	c	2	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	n	-1	a	1	1	a	-1	a	1	2	False	True	True	False	False	P
Fc	v	0	n	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fc	v	1	n	2	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	2	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	2	1	fn	-1	o	0	1	False	True	True	False	False	D
Fc	v	1	n	1	1	fs	-1	c	1	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	D
Fc	v	1	n	2	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	s	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	#	-1	#	0	0	a	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fs	-1	c	1	1	False	True	True	False	False	P
Fc	s	-1	c	1	2	fs	-1	o	0	1	False	True	True	False	False	D
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	#	-1	#	0	0	fn	-1	o	0	1	False	True	True	False	False	P
Fc	s	-1	c	1	1	fs	-1	c	1	2	False	True	True	False	False	P
Fc	s	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	n	-1	a	1	1	a	-1	a	1	2	False	True	True	False	False	P
Fc	v	0	n	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fs	-1	o	0	1	False	True	True	False	False	P
Fc	s	-1	c	1	1	fs	-1	c	1	2	False	True	True	False	False	P
Fc	v	1	n	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	D
Fc	v	1	n	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fc	fs	-1	c	2	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	True	D
Fc	#	-1	#	0	0	fu	-1	o	0	1	False	True	True	False	False	P
Fc	n	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	s	-1	c	1	2	fs	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	D
Fc	v	1	n	1	1	a	-1	c	1	1	False	True	True	False	False	P
Fc	s	-1	c	2	2	fs	-1	c	2	3	False	True	True	False	False	P
Fc	fs	-1	c	2	3	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	o	0	1	False	True	True	False	False	P
Fc	s	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	s	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fc	fs	-1	c	2	1	fn	-1	o	0	1	False	True	True	False	False	D
Fc	v	1	n	1	1	a	-1	c	1	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	n	-1	a	1	1	a	-1	a	1	2	False	True	True	False	False	P
Fc	v	0	n	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fc	v	1	n	2	1	fu	-1	c	2	1	False	True	True	False	False	P
Fc	fu	-1	c	2	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	0	n	1	1	fu	-1	o	0	1	False	True	True	False	False	P
Fc	n	-1	c	1	1	fs	-1	c	1	2	False	True	True	False	False	P
Fc	v	1	n	1	1	a	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fs	-1	c	1	1	False	True	True	False	False	P
Fc	s	-1	c	1	1	fs	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	v	0	n	2	1	a	-1	c	2	1	False	True	True	False	False	P
Fc	v	1	n	1	1	fu	-1	o	0	1	False	True	True	False	False	P
Fc	s	-1	c	1	1	fs	-1	c	1	2	False	True	True	False	False	P
Fc	n	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	D
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	True	False	False	P
Fc	v	1	n	1	1	a	-1	c	1	1	False	True	True	False	False	P
