tmin	tier	text	tmax
0.347079	Response	R1.1	0.347079
0.658051	Response	R1.2	0.658051
0.987683	Response	R1.3	0.987683
1.314137	Response	R1.4	1.314137
1.629728	Response	R1.5	1.629728
1.963703	Response	R1.6	1.963703
2.285463	Response	R1.7	2.285463
2.604293	Response	R1.8	2.604293
2.937779	Response	R1.9	2.937779
3.272423	Response	R1.10	3.272423
3.596430	Response	R1.11	3.596430
3.923807	Response	R1.12	3.923807
4.279455	Response	R1.13	4.279455
4.611707	Response	R1.14	4.611707
4.963456	Response	R1.15	4.963456
5.292782	Response	R1.16	5.292782
5.633501	Response	R1.17	5.633501
5.971601	Response	R1.18	5.971601
6.290692	Response	R1.19	6.290692
6.621968	Response	R1.20	6.621968
6.958119	Response	R1.21	6.958119
7.287627	Response	R1.22	7.287627
7.625240	Response	R1.23	7.625240
7.943514	Response	R1.24	7.943514
8.264304	Response	R1.25	8.264304
8.593299	Response	R1.26	8.593299
8.934843	Response	R1.27	8.934843
9.260943	Response	R1.28	9.260943
9.592834	Response	R1.29	9.592834
9.914768	Response	R1.30	9.914768
14.769628	Response	R2.1	14.769628
15.062424	Response	R2.2	15.062424
15.385627	Response	R2.3	15.385627
15.697729	Response	R2.4	15.697729
15.997944	Response	R2.5	15.997944
16.302582	Response	R2.6	16.302582
16.602618	Response	R2.7	16.602618
16.929200	Response	R2.8	16.929200
17.221513	Response	R2.9	17.221513
17.542302	Response	R2.10	17.542302
17.854584	Response	R2.11	17.854584
18.147379	Response	R2.12	18.147379
18.464308	Response	R2.13	18.464308
18.792820	Response	R2.14	18.792820
19.098344	Response	R2.15	19.098344
19.408998	Response	R2.16	19.408998
19.721100	Response	R2.17	19.721100
20.009552	Response	R2.18	20.009552
20.308801	Response	R2.19	20.308801
20.605941	Response	R2.20	20.605941
20.931557	Response	R2.21	20.931557
21.227249	Response	R2.22	21.227249
21.530180	Response	R2.23	21.530180
21.826051	Response	R2.24	21.826051
22.123673	Response	R2.25	22.123673
22.443015	Response	R2.26	22.443015
22.762357	Response	R2.27	22.762357
23.041335	Response	R2.28	23.041335
23.331314	Response	R2.29	23.331314
23.643899	Response	R2.30	23.643899
23.941521	Response	R2.31	23.941521
24.223475	Response	R2.32	24.223475
28.947534	Response	R3.1	28.947534
29.220058	Response	R3.2	29.220058
29.519128	Response	R3.3	29.519128
29.796175	Response	R3.4	29.796175
30.087523	Response	R3.5	30.087523
30.388523	Response	R3.6	30.388523
30.663640	Response	R3.7	30.663640
30.971881	Response	R3.8	30.971881
31.246818	Response	R3.9	31.246818
31.529960	Response	R3.10	31.529960
31.827762	Response	R3.11	31.827762
32.096424	Response	R3.12	32.096424
32.392598	Response	R3.13	32.392598
32.689738	Response	R3.14	32.689738
32.988987	Response	R3.15	32.988987
33.285644	Response	R3.16	33.285644
33.581818	Response	R3.17	33.581818
33.876241	Response	R3.18	33.876241
34.161797	Response	R3.19	34.161797
34.454110	Response	R3.20	34.454110
34.741596	Response	R3.21	34.741596
35.049533	Response	R3.22	35.049533
35.351017	Response	R3.23	35.351017
35.637055	Response	R3.24	35.637055
35.941534	Response	R3.25	35.941534
36.229503	Response	R3.26	36.229503
36.529539	Response	R3.27	36.529539
36.810750	Response	R3.28	36.810750
37.114826	Response	R3.29	37.114826
37.402313	Response	R3.30	37.402313
37.693178	Response	R3.31	37.693178
37.986456	Response	R3.32	37.986456
38.266882	Response	R3.33	38.266882
38.550507	Response	R3.34	38.550507
